equipment_id,tower_id,equipment_type,vendor,model,install_date,status
362,488,Router,Samsung,Model-Ei,2023-11-30,Active
363,359,Antenna,Samsung,Model-TE,2024-01-30,Maintenance
364,405,Antenna,Nokia,Model-Qr,2024-10-15,Active
365,202,BTS,Huawei,Model-tb,2021-08-18,Maintenance
366,38,Router,ZTE,Model-Wb,2023-03-14,Active
367,430,BTS,Huawei,Model-tL,2023-05-25,Maintenance
368,260,BTS,Ericsson,Model-YJ,2024-02-05,Active
369,188,BTS,Samsung,Model-XG,2021-07-20,Maintenance
370,57,Router,Huawei,Model-ZB,2021-03-12,Active
371,429,BTS,ZTE,Model-bD,2022-01-08,Active
372,20,BTS,Ericsson,Model-UT,2024-08-14,Maintenance
373,273,BTS,Nokia,Model-gj,2023-11-25,Faulty
374,119,BTS,Nokia,Model-bV,2024-09-06,Maintenance
375,71,BTS,ZTE,Model-Al,2021-07-24,Faulty
376,4,BTS,Ericsson,Model-eQ,2024-03-20,Active
377,221,Router,Samsung,Model-Sx,2024-10-18,Maintenance
378,14,BTS,Huawei,Model-Zz,2025-05-31,Maintenance
379,3,Antenna,Ericsson,Model-kt,2024-06-30,Maintenance
380,216,BTS,Nokia,Model-WD,2025-01-18,Faulty
381,229,BTS,ZTE,Model-Tc,2025-08-29,Faulty
382,336,Router,ZTE,Model-HY,2021-05-20,Active
383,186,Router,Huawei,Model-Tu,2024-08-15,Faulty
384,55,Antenna,ZTE,Model-re,2023-10-24,Faulty
385,500,Antenna,ZTE,Model-Cr,2023-04-03,Active
386,388,Router,Ericsson,Model-Dz,2022-11-29,Maintenance
387,376,Router,Samsung,Model-HW,2025-02-18,Maintenance
388,254,BTS,Huawei,Model-FY,2022-01-11,Active
389,24,Router,Ericsson,Model-nj,2024-08-08,Maintenance
390,162,Antenna,Samsung,Model-So,2021-06-30,Faulty
391,158,BTS,Ericsson,Model-JZ,2024-02-28,Active
392,82,Antenna,Ericsson,Model-uk,2021-10-25,Active
393,403,BTS,ZTE,Model-Bj,2021-09-21,Active
394,159,Router,Samsung,Model-Ak,2021-08-18,Maintenance
395,188,Antenna,Huawei,Model-gc,2021-06-07,Active
396,60,BTS,Huawei,Model-ZB,2025-07-05,Active
397,403,BTS,Samsung,Model-Jt,2021-07-16,Active
398,305,Router,ZTE,Model-OC,2025-09-06,Maintenance
399,319,Router,Nokia,Model-Fj,2022-08-02,Faulty
400,366,Router,Ericsson,Model-KE,2023-05-28,Active
401,211,Antenna,ZTE,Model-DP,2024-07-09,Faulty
402,406,BTS,Samsung,Model-wY,2022-08-23,Maintenance
403,152,Router,Ericsson,Model-jE,2021-02-27,Maintenance
404,109,Antenna,Huawei,Model-ak,2025-05-30,Maintenance
405,76,Antenna,Nokia,Model-gW,2024-12-08,Maintenance
406,30,Antenna,Huawei,Model-pe,2022-11-30,Faulty
407,314,Router,Samsung,Model-eZ,2025-11-05,Active
408,486,Router,Ericsson,Model-vt,2023-08-08,Maintenance
409,117,BTS,Samsung,Model-dw,2025-11-16,Maintenance
410,415,BTS,Ericsson,Model-Kj,2021-05-31,Faulty
411,356,Router,ZTE,Model-qe,2023-05-10,Faulty
412,192,Antenna,Nokia,Model-Ad,2022-02-11,Maintenance
413,19,Antenna,ZTE,Model-Cj,2024-08-26,Active
414,432,Antenna,ZTE,Model-zN,2022-10-22,Active
415,173,BTS,Samsung,Model-hJ,2023-11-05,Maintenance
416,228,Antenna,Nokia,Model-ip,2025-12-02,Faulty
417,350,BTS,Ericsson,Model-MS,2022-06-24,Maintenance
418,183,BTS,Ericsson,Model-dy,2022-10-15,Maintenance
419,113,Antenna,Huawei,Model-Ps,2022-03-03,Faulty
420,183,Antenna,Ericsson,Model-CK,2025-10-18,Maintenance
421,481,Router,Samsung,Model-my,2021-04-14,Maintenance
422,146,Router,ZTE,Model-QI,2021-08-12,Maintenance
423,319,Antenna,ZTE,Model-UY,2021-02-12,Faulty
424,116,BTS,ZTE,Model-qf,2021-07-03,Active
425,113,BTS,Nokia,Model-XM,2022-04-16,Active
426,251,BTS,Ericsson,Model-gm,2023-09-04,Faulty
427,476,BTS,Samsung,Model-xR,2022-02-03,Active
428,251,BTS,Nokia,Model-Me,2022-06-06,Maintenance
429,303,Router,Huawei,Model-Hv,2022-05-08,Active
430,459,Antenna,Samsung,Model-fV,2022-01-13,Maintenance
431,313,Router,Samsung,Model-yW,2023-11-04,Active
432,118,BTS,Samsung,Model-dW,2023-12-14,Faulty
433,301,BTS,ZTE,Model-nE,2024-02-19,Active
434,161,BTS,Samsung,Model-ys,2025-07-31,Active
435,401,BTS,Ericsson,Model-IQ,2023-10-21,Active
436,198,Antenna,Samsung,Model-DM,2023-03-12,Faulty
437,260,BTS,ZTE,Model-oF,2025-08-21,Active
438,148,Antenna,Samsung,Model-ND,2024-11-09,Faulty
439,240,BTS,Huawei,Model-tF,2021-10-19,Maintenance
440,47,Antenna,Huawei,Model-fX,2023-06-12,Active
441,475,Router,ZTE,Model-vM,2024-05-07,Faulty
442,399,BTS,Ericsson,Model-fz,2025-02-26,Faulty
443,198,Antenna,Ericsson,Model-tv,2025-05-21,Active
444,47,Router,Nokia,Model-rq,2025-05-12,Maintenance
445,78,BTS,ZTE,Model-tD,2025-04-03,Faulty
446,124,BTS,Samsung,Model-Al,2025-06-17,Active
447,75,BTS,ZTE,Model-MT,2022-06-12,Maintenance
448,359,Antenna,Nokia,Model-pP,2022-09-07,Faulty
